job_num,msg_size,avg_latency
1,10485760,176188.520925
2,10485760,271522.097654
3,10485760,380894.729164
4,10485760,478687.853333
5,10485760,574078.373009
6,10485760,668184.006444
7,10485760,768175.881392
8,10485760,867349.767123
9,10485760,957378.250559
10,10485760,1041592.231035
11,10485760,1149524.132657
12,10485760,1243625.516982
13,10485760,1334652.959015
14,10485760,1429150.086593
15,10485760,1523818.164392
16,10485760,1601803.141800
17,10485760,1693014.858428
18,10485760,1770534.607408
19,10485760,1869773.107800
20,10485760,1972418.875682
21,10485760,2056395.850795
22,10485760,2156375.055871
23,10485760,2256746.978144
24,10485760,2320183.495005
25,10485760,2412524.926670
26,10485760,2496265.643045
27,10485760,2604250.306674
28,10485760,2709759.672936
29,10485760,2791628.751610
30,10485760,2900551.760793
31,10485760,2969706.254183
32,10485760,3071286.227840
1,20971520,359614.731464
2,20971520,574037.204316
3,20971520,762197.384876
4,20971520,971963.199150
5,20971520,1193372.980599
6,20971520,1395860.168693
7,20971520,1622167.084328
8,20971520,1814830.545072
9,20971520,1954040.829204
10,20971520,2166468.088971
11,20971520,2338868.412214
12,20971520,2510236.333440
13,20971520,2720225.742753
14,20971520,2914933.892433
15,20971520,3074565.323813
16,20971520,3268765.550493
17,20971520,3088730.808394
18,20971520,3569516.250450
19,20971520,3809838.767808
20,20971520,4058468.656231
21,20971520,4156665.261058
22,20971520,4333373.316235
23,20971520,4526967.010119
24,20971520,4641191.405816
25,20971520,5031368.407753
26,20971520,4540046.124691
27,20971520,5285169.979430
28,20971520,5502943.218663
29,20971520,5613935.842023
30,20971520,5914442.344774
31,20971520,6029048.908229
32,20971520,6021732.875001
