job_num,msg_size,avg_latency
1,10485760,176188.520925
2,10485760,271550.296496
3,10485760,380922.807679
4,10485760,478986.890346
5,10485760,574603.097906
6,10485760,669707.414841
7,10485760,770382.124875
8,10485760,868790.673245
9,10485760,968982.809591
10,10485760,1055065.215455
11,10485760,1211955.611280
12,10485760,1258859.364149
13,10485760,1363717.669470
14,10485760,1457956.253030
15,10485760,1549407.496812
16,10485760,1609962.383144
17,10485760,1881381.868968
18,10485760,1956443.046144
19,10485760,1936720.340827
20,10485760,2176264.904385
21,10485760,2399386.548616
22,10485760,2212028.998135
23,10485760,2387343.326144
24,10485760,2541856.984761
25,10485760,2689829.989926
26,10485760,3136957.152465
27,10485760,2929790.655012
28,10485760,3057942.927474
29,10485760,3068924.055664
30,10485760,3133478.948266
31,10485760,3484410.915360
32,10485760,3907703.891628
1,20971520,359614.731464
2,20971520,574051.577772
3,20971520,762601.595567
4,20971520,972319.571013
5,20971520,1194152.560994
6,20971520,1397960.935909
7,20971520,1629296.808383
8,20971520,1824945.666570
9,20971520,2003209.388874
10,20971520,2219634.948024
11,20971520,2528001.652907
12,20971520,2587886.789671
13,20971520,2801544.854030
14,20971520,2967867.503747
15,20971520,3175348.353700
16,20971520,3605867.971151
17,20971520,3144489.993035
18,20971520,3896684.719845
19,20971520,4639991.150423
20,20971520,4838966.086627
21,20971520,4829441.481301
22,20971520,4615577.438373
23,20971520,4718336.717601
24,20971520,6572683.001214
25,20971520,8197839.745400
26,20971520,4926282.950442
27,20971520,6924946.600407
28,20971520,6477054.662751
29,20971520,6591101.683904
30,20971520,7145344.913292
31,20971520,7592851.525348
32,20971520,10038802.901262
