job_num,msg_size,avg_latency
1,10485760,144448.784366
2,10485760,218704.806470
3,10485760,339323.294615
4,10485760,406251.435010
5,10485760,599307.392611
6,10485760,721643.894973
7,10485760,898387.518582
8,10485760,928543.230615
9,10485760,1176460.425243
10,10485760,2618189.407140
11,10485760,2482439.238327
12,10485760,3422118.872406
13,10485760,2259740.937294
14,10485760,3187746.010890
15,10485760,5447068.831258
16,10485760,3992139.571656
1,20971520,211059.796696
2,20971520,489554.051457
3,20971520,674767.609398
4,20971520,885286.180553
5,20971520,1169955.424864
6,20971520,1482427.816916
7,20971520,1577256.578903
8,20971520,1871610.443679
9,20971520,2781857.504244
10,20971520,3762427.131010
11,20971520,5674543.960540
12,20971520,5034517.858428
13,20971520,3832118.143471
14,20971520,6022802.681443
15,20971520,7838793.419680
16,20971520,11806770.258275
1,41943040,421522.966879
2,41943040,927610.833282
3,41943040,1384677.190381
4,41943040,1935680.148967
5,41943040,2356717.434206
6,41943040,2751474.975714
7,41943040,3984035.256112
8,41943040,4511668.311230
9,41943040,6733908.115305
10,41943040,5276505.487394
11,41943040,7584460.564415
12,41943040,8894383.205979
13,41943040,8126354.827857
14,41943040,8305975.719905
15,41943040,13447034.400122
16,41943040,9485605.308194
