job_num,msg_size,avg_latency
1,10485760,176664.304000
2,10485760,328543.480500
3,10485760,490091.998133
4,10485760,618180.917575
5,10485760,861704.342080
6,10485760,1100673.226017
7,10485760,1265891.366243
8,10485760,1453048.046688
9,10485760,2018767.841600
10,10485760,2396865.870050
11,10485760,2524177.381600
12,10485760,2388707.217458
13,10485760,3241995.857323
14,10485760,2787035.462050
15,10485760,3068022.649987
16,10485760,4709032.719263
17,10485760,5602473.038094
18,10485760,6261024.219717
19,10485760,5801576.550863
20,10485760,6143857.325605
21,10485760,6154777.556652
22,10485760,5233694.191000
23,10485760,6306716.151052
24,10485760,8321217.653025
25,10485760,9541499.060844
26,10485760,8411926.948965
27,10485760,9840562.847485
28,10485760,9506026.237536
29,10485760,10546720.214186
30,10485760,9054724.203793
31,10485760,10597521.744432
32,10485760,11436605.729856
1,20971520,360111.050300
2,20971520,653329.946100
3,20971520,984453.439700
4,20971520,1279869.263975
5,20971520,1569668.049380
6,20971520,1972008.065033
7,20971520,2537525.250443
8,20971520,2999150.422412
9,20971520,4140924.132522
10,20971520,4585055.752840
11,20971520,5770011.352536
12,20971520,6521682.832692
13,20971520,5138604.229454
14,20971520,5674424.500336
15,20971520,8057905.925313
16,20971520,9098199.811531
17,20971520,5703423.717120
18,20971520,10352890.586900
19,20971520,11818454.929279
20,20971520,11022211.423885
21,20971520,10062443.009095
22,20971520,10308604.014027
23,20971520,11244446.017343
24,20971520,13526310.927242
25,20971520,14947704.187776
26,20971520,11574386.563322
27,20971520,16718411.763659
28,20971520,15973897.803446
29,20971520,16939387.782372
30,20971520,16739845.951653
31,20971520,17771586.762681
32,20971520,15389680.296419
