job_num,msg_size,avg_latency
1,10485760,176664.304000
2,10485760,343395.330000
3,10485760,495154.205700
4,10485760,627483.360500
5,10485760,917669.341000
6,10485760,1235149.569800
7,10485760,1454304.274200
8,10485760,1712318.457700
9,10485760,2506013.047000
10,10485760,3617514.807700
11,10485760,4193685.386300
12,10485760,3254314.493400
13,10485760,6026369.713200
14,10485760,4170214.615800
15,10485760,4631768.420300
16,10485760,10620083.369300
17,10485760,9789475.213700
18,10485760,10667980.305900
19,10485760,12024034.101500
20,10485760,11527427.032600
21,10485760,12198619.622700
22,10485760,10016777.735200
23,10485760,11392389.040400
24,10485760,14336820.386400
25,10485760,18624420.356000
26,10485760,14939995.523500
27,10485760,17012127.488900
28,10485760,12774176.791300
29,10485760,14369253.613100
30,10485760,13259989.149900
31,10485760,14040288.779900
32,10485760,15940185.096100
1,20971520,360111.050300
2,20971520,657220.292800
3,20971520,1031350.590300
4,20971520,1336134.787600
5,20971520,1611130.368000
6,20971520,2221008.934100
7,20971520,2878210.727100
8,20971520,3302797.768300
9,20971520,6845020.923800
10,20971520,5563898.317500
11,20971520,12622239.209700
12,20971520,12416406.765600
13,20971520,6212139.230200
14,20971520,9672011.513300
15,20971520,15114392.545100
16,20971520,22526857.715100
17,20971520,10943868.510400
18,20971520,20248177.360700
19,20971520,21948391.515800
20,20971520,18912000.846100
21,20971520,17342554.405300
22,20971520,18034920.990500
23,20971520,17084056.485400
24,20971520,25328320.168000
25,20971520,30495249.208100
26,20971520,20300439.272100
27,20971520,30863986.801400
28,20971520,24819120.593400
29,20971520,29284006.509900
30,20971520,24747882.377400
31,20971520,29112026.080500
32,20971520,30873377.487100
