job_num,msg_size,avg_latency
1,10485760,144782.884050
2,10485760,252978.234910
3,10485760,403862.975033
4,10485760,411705.268170
5,10485760,744303.539396
6,10485760,951073.962760
7,10485760,1190423.273030
8,10485760,1185456.097593
9,10485760,1874154.150444
10,10485760,1622378.578448
11,10485760,1775388.676472
12,10485760,2380438.301400
13,10485760,2355786.692670
14,10485760,2589381.159625
15,10485760,2452783.832427
16,10485760,2357894.310388
1,20971520,211375.981180
2,20971520,573035.663925
3,20971520,842739.162097
4,20971520,1104497.096027
5,20971520,1366665.283732
6,20971520,1657565.800038
7,20971520,1935391.837096
8,20971520,2368911.161925
9,20971520,3968283.876979
10,20971520,3943396.794753
11,20971520,4309666.213734
12,20971520,4533560.929102
13,20971520,4663970.178907
14,20971520,5023970.095466
15,20971520,4516554.893453
16,20971520,5960500.927388
1,41943040,422332.058470
2,41943040,1115212.320735
3,41943040,1788549.183303
4,41943040,2035669.471137
5,41943040,2827543.314026
6,41943040,3400626.118110
7,41943040,3420006.862071
8,41943040,3580756.214964
9,41943040,6996449.149316
10,41943040,7755395.589099
11,41943040,10150134.765355
12,41943040,10330773.221176
13,41943040,10392518.944579
14,41943040,10492408.831018
15,41943040,12831601.038827
16,41943040,13035935.717099
