job_num,msg_size,avg_latency
1,10485760,144959.762700
2,10485760,267359.715000
3,10485760,455593.574800
4,10485760,414020.560700
5,10485760,1234883.084900
6,10485760,1412864.409400
7,10485760,1848225.038500
8,10485760,1885067.757200
9,10485760,4276956.364500
10,10485760,4713420.052100
11,10485760,4344909.604600
12,10485760,7044063.020500
13,10485760,5845160.104300
14,10485760,8577365.309000
15,10485760,7716191.791000
16,10485760,7428574.752100
1,20971520,211713.112900
2,20971520,682483.173900
3,20971520,974937.822700
4,20971520,1507355.563300
5,20971520,1680938.664800
6,20971520,2187535.975100
7,20971520,2556791.685500
8,20971520,3366407.670100
9,20971520,9643170.062500
10,20971520,9930332.705400
11,20971520,13531835.898800
12,20971520,9960636.902600
13,20971520,9104423.556500
14,20971520,15196039.058300
15,20971520,14406688.749800
16,20971520,21641270.224000
1,41943040,422731.295200
2,41943040,1216723.065800
3,41943040,2087066.423100
4,41943040,2370608.966800
5,41943040,4079124.715200
6,41943040,4665800.381500
7,41943040,4352691.877600
8,41943040,4739923.577800
9,41943040,18187421.228700
10,41943040,28167761.486000
11,41943040,36870142.955300
12,41943040,25288472.183000
13,41943040,29919991.198900
14,41943040,25282789.047800
15,41943040,29379625.827100
16,41943040,38706512.995100
